SMILES,Name,Cluster
CCC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1,16741133,11
Cc1ccc(Cl)cc1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@@H]21,101303273,1
CCCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cc(OC)ccc1OC,32504126,8
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@H]32)c(C)c1,101319242,10
CC[C@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(OC)cc1OC,36638719,8
CCCCOc1cccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,101310486,10
CC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)c(C)c1,16741027,11
CC[C@@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cc(OC)ccc1OC,32504190,8
O=C(O)CCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1,101300893,1
Cc1cccc(C)c1N1/C(=N\C(=O)CCCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@H]21,101309903,1
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)ccc1Cl,101315917,1
CC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1F,101061331,11
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Cl)c1)[C@@H]1CCCO1,17967322,11
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@H]32)c(C)c1,101319244,10
CCC(CC)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCO2,101318032,11
O=C(/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1)C1CC1,101075781,11
COc1ccc(N2/C(=N\C(=O)C3CC3)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1Cl,101316302,11
Cc1cccc(C)c1N1/C(=N\C(=O)CCCC(=O)O)S[C@H]2CS(=O)(=O)C[C@@H]21,101309902,1
CC[C@H](C)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(OC)ccc1OC,245228920,8
N#CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC(F)(F)F)cc1,101315701,10
